ST MARKS RD,SAINT MARKS RD
ST MARTINS CT,SAINT MARTINS CT
ST MARYS ST,SAINT MARYS ST
ST MARYS,SAINT MARYS
ST MATTHEWS CL,SAINT MATTHEWS CL
ST MATTHEWS ST,SAINT MATTHEWS ST
ST MICHAELS CCT,SAINT MICHAELS CCT
ST MICHAELS RD,SAINT MICHAELS RD
ST MORRIS,SAINT MORRIS
ST NICHOLAS AV,SAINT NICHOLAS AV
ST NINIANS RD,SAINT NINIANS RD
ST PATRICKS ST,SAINT PATRICKS ST
ST PETERS CL,SAINT PETERS CL
ST PETERS PL,SAINT PETERS PL
ST PETERS ST,SAINT PETERS ST
ST PETERS TCE,SAINT PETERS TCE
ST PETERS WY,SAINT PETERS WY
ST PETERS,SAINT PETERS
ST THOMAS ST,SAINT THOMAS ST
ST VINCENT CCT,SAINT VINCENT CCT
ST VINCENT CL,SAINT VINCENT CL
ST VINCENT RD,SAINT VINCENT RD
ST VINCENT ST,SAINT VINCENT ST
ST VINCENTS AV,SAINT VINCENTS AV
ST VINCENTS CL,SAINT VINCENTS CL
ST WILFRED AV,SAINT WILFRED AV
ST,STREET
STRA,STRAND
STRP,STRIP
SWY,SERVICE WAY
TCE,TERRACE
THOR,THOROUGHFARE
TKWY,TRUNKWAY
TLWY,TOLLWAY
TRI,TRIANGLE
TRK,TRACK
TRL,TRAIL
TRLR,TRAILER
TURN,TURN
TWRS,TOWERS
UP,UPPER
UPAS,UNDERPASS
VALE,VALE
VDCT,VIADUCT
VLLS,VILLAS
VSTA,VISTA
WALK,WALK
WAY,WAY
WHRF,WHARF
WKWY,WALKWAY
WYND,WYND
YARD,YARD
