BUNGC1,JAMESTOWN C F S
BUR20,BURRA S E S
BUR29,BURRA S E S
BURG36,BURRA C F S
BURGC1,BURRA C F S
BURN24,BURNSIDE C F S
BURN28,BURNSIDE C F S
BURN42,BURNSIDE C F S
BURNC1,BURNSIDE C F S
BURNPUMP19,BURNSIDE C F S
BUT20,BUTE S E S
BUT29,BUTE S E S
BUTE34,BUTE C F S
BUTEQRV,BUTE C F S
BUTL34,BUTLER C F S
BWN20,BORDERTOWN S E S
BWN29,BORDERTOWN S E S
CALC34,CALCA C F S
CALD34,CALLENDALE C F S
CALN34,CALLINGTON C F S
CALT24,CALTOWIE C F S
CAM20,CAMPBELLTOWN S E S
CAMB24,CAMBRAI C F S
CAR031,CAR THREE ONE
CAR041,CAR FOUR ONE
CAR2031,CAR THREE ONE
CAR2041,CAR FOUR ONE
CARG36,KIMBA C F S
CARGA36,KIMBA C F S
CARGC1,KIMBA C F S
CARGC2,KIMBA C F S
CARR24,CARRIETON C F S
CARY14,CAREY GULLY C F S
CARY24,CAREY GULLY C F S
CARY42,CAREY GULLY C F S
CARYQRV,CAREY GULLY C F S
CDLL24,CADELL C F S
CDLLA24,CADELL C F S
CDLLQRV,CADELL C F S
CDN431,CHRISTIE DOWNS FOUR THREE ONE
CDN439,CHRISTIE DOWNS FOUR THREE NINE
CED20,CEDUNA S E S
CED29,CEDUNA S E S
CEDU19,CEDUNA C F S
CEDU34P,CEDUNA C F S
CEDU36,CEDUNA C F S
CHAG36,CEDUNA C F S
CHAG42,CEDUNA C F S
CHAGC1,CEDUNA C F S
CHAGC2,CEDUNA C F S
CHRY00,CHERRY GARDENS C F S
CHRY34,CHERRY GARDENS C F S
CHRY34P,CHERRY GARDENS C F S
CHVL24,CHERRYVILLE C F S
CHVLQRV,CHERRYVILLE C F S
CJER14,CAPE JERVIS C F S
CJER34P,CAPE JERVIS C F S
CKEE34,COCKALEECHIE C F S
CLA20,CLARE S E S
CLA29,CLARE S E S
CLAR24,CLARE C F S
CLAR24P,CLARE C F S
CLAR28,CLARE C F S
CLAY24,CLAYTON C F S
CLDN00,CLARENDON C F S
CLDN14,CLARENDON C F S
CLDN24P,CLARENDON C F S
CLEV24P,CLEVE C F S
CLEV34,CLEVE C F S
CLTA24,COULTA C F S
CMBE24,COOMBE C F S
CMDK34,COOMANDOOK C F S
CMMN19,CUMMINS C F S
CMMN34P,CUMMINS C F S
CNPN19,COONALPYN C F S
CNPN34,COONALPYN C F S
CNPNQRV,COONALPYN C F S
CNWR34,COONAWARRA C F S
COFF14,COFFIN BAY C F S
COFF34,COFFIN BAY C F S
COLE34,COLEBATCH C F S
COMM24,COMAUM C F S
COMP24,COMPTON C F S
CONC34,CONCORDIA C F S
COOB19,COOBER PEDY C F S
COOB34,COOBER PEDY C F S
COOB34P,COOBER PEDY C F S
COOB42,COOBER PEDY C F S
COOBC1,COOBER PEDY C F S
COOG42,COONALPYN C F S
COOGC1,COONALPYN C F S
COOGC2,COONALPYN C F S
COOGC3,COONALPYN C F S
COOK34,COOKE PLAINS C F S
CPD20,COOBER PEDY S E S
CPD29,COOBER PEDY S E S
CPK411,CAMDEN PARK FOUR ONE ONE
CPK417,CAMDEN PARK FOUR ONE SEVEN
CRML00,CORAMANDEL VALLEY C F S
CRML24,CORROMANDEL VALLEY C F S
CRML24P,CORROMANDEL VALLEY C F S
CRNY24,CORNY POINT C F S
CRYS19,CRYSTAL BROOK C F S
CRYS24,CRYSTAL BROOK C F S
CTRA24,COOTRA C F S
CUCK24,CURRENCY CREEK C F S
CUDL34,CUDLEE CREEK C F S
CUM20,CUMMINS S E S
CUNL34,CUNLIFFE C F S
CURR34,CURRAMULKA C F S
CVE20,CLEVE S E S
CVE29,CLEVE S E S
CWLL19,COWELL C F S
CWLL34,COWELL C F S
DALK14,DALKEITH C F S
DALK19,DALKEITH C F S
DALK24,DALKEITH C F S
DALK28,DALKEITH C F S
DARK34,DARKE PEAK C F S
DONV34,DONOVANS C F S
DUBL19,DUBLIN C F S
DUBL24,DUBLIN C F S
DUTY_OFFCR,ADELAIDE M F S
EAS20,EASTERN SUBURBS S E S
ECHG14,ECHUNGA C F S
